x_global,y_global,fov_id,label,target,x_cell,y_cell
57,933,0,17,Plp1,48.385605999999825,922.7947000000004
57,1327,0,0,Plp1,,
58,460,0,28,Plp1,66.10372299999926,459.9680900000003
58,656,0,24,Prkca,63.94620799999939,658.4567900000002
58,926,0,17,Plp1,48.385605999999825,922.7947000000004
58,931,0,17,Plp1,48.385605999999825,922.7947000000004
58,1048,0,21,Cux2,55.449438000000555,1051.65409
58,1063,0,21,Plp1,55.449438000000555,1051.65409
58,1183,0,0,Cryab,,
58,1258,0,11,Rgs4,42.63932199999999,1274.6787400000012
59,354,0,23,Cryab,59.085189000000355,369.54307999999946
59,366,0,23,Cryab,59.085189000000355,369.54307999999946
59,440,0,18,Cryab,50.747378000000026,436.5357499999991
59,655,0,24,Prkca,63.94620799999939,658.4567900000002
59,660,0,24,Aldoc,63.94620799999939,658.4567900000002
60,451,0,28,Cryab,66.10372299999926,459.9680900000003
61,360,0,23,Cryab,59.085189000000355,369.54307999999946
61,535,0,25,3110035E14Rik,72.61700800000017,522.7672599999987
61,879,0,20,Plp1,56.52744299999995,884.3574300000018
61,884,0,20,Prkca,56.52744299999995,884.3574300000018
61,934,0,17,Plp1,48.385605999999825,922.7947000000004
61,1046,0,21,Plp1,55.449438000000555,1051.65409
61,1062,0,21,Plp1,55.449438000000555,1051.65409
61,1262,0,11,Fam19a1,42.63932199999999,1274.6787400000012
62,791,0,29,Plp1,61.255263000000014,785.2605300000014
62,883,0,20,Prkca,56.52744299999995,884.3574300000018
62,1048,0,21,Plp1,55.449438000000555,1051.65409
63,375,0,23,Plp1,59.085189000000355,369.54307999999946
63,454,0,28,Plp1,66.10372299999926,459.9680900000003
63,618,0,26,Enpp2,70.92188499999975,618.0006199999989
63,1320,0,0,Plp1,,
64,467,0,28,Plp1,66.10372299999926,459.9680900000003
64,1393,0,27,Id2,76.59490099999948,1415.8308400000005
65,453,0,28,Plp1,66.10372299999926,459.9680900000003
65,577,0,0,Plp1,,
65,609,0,26,Plp1,70.92188499999975,618.0006199999989
65,622,0,26,Plp1,70.92188499999975,618.0006199999989
66,268,0,0,Pcp4,,
66,365,0,23,Plp1,59.085189000000355,369.54307999999946
66,370,0,23,Plp1,59.085189000000355,369.54307999999946
66,374,0,23,Plp1,59.085189000000355,369.54307999999946
66,555,0,0,Enpp2,,
66,788,0,29,Enpp2,61.255263000000014,785.2605300000014
66,888,0,20,Plp1,56.52744299999995,884.3574300000018
66,1002,0,0,Plp1,,
66,1313,0,33,Plp1,74.94434799999999,1310.53391
67,366,0,23,Plp1,59.085189000000355,369.54307999999946
67,383,0,23,Plp1,59.085189000000355,369.54307999999946
67,451,0,28,Cryab,66.10372299999926,459.9680900000003
67,471,0,28,Plp1,66.10372299999926,459.9680900000003
67,558,0,0,Plp1,,
67,561,0,0,Plp1,,
67,624,0,26,Enpp2,70.92188499999975,618.0006199999989
67,632,0,26,Cryab,70.92188499999975,618.0006199999989
67,894,0,20,Plp1,56.52744299999995,884.3574300000018
68,458,0,28,Enpp2,66.10372299999926,459.9680900000003
68,882,0,20,Plp1,56.52744299999995,884.3574300000018
68,1052,0,21,Plp1,55.449438000000555,1051.65409
68,1321,0,33,Plp1,74.94434799999999,1310.53391
69,375,0,23,Plp1,59.085189000000355,369.54307999999946
69,403,0,32,Pde1a,72.75579300000027,400.70410000000084
