cell_label,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Nos1,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero,iteration,has_converged,utc
1319,0.041238780424018545,0.0,0.003599856540471133,0.0,0.0018466821823191347,2.961354797761537e-10,0.0,0.0,0.0,1.0809719352705748e-09,3.990679169963731e-05,0.0,0.0,1.2034875849754491e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013176073512079433,0.0020187914984134267,0.42975972773996146,0.0013761139629035332,0.0,0.0,1.070030870786998e-09,0.0,0.0043988644409854024,0.0,0.0,0.23879371402462676,0.2538226395527122,0.0038446798615341215,0.0005568013597843151,3.425191794789351e-05,2.035111568147441e-06,2.3488787900771054e-08,0.0,0.0,0.0,8.557555317035047e-09,2.0694188524120477e-05,0.0,2.3993846120689017e-07,1.1846236833212253e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.653219091203985e-11,0.0,0.0,0.0,3.730134929049404e-07,0.0,0.0,0.0,0.005468535939713452,153,1,2022-07-14 21:02:06.835980
1320,0.02402469727249044,0.0,0.9725954159988099,0.0,9.776356776308537e-06,3.932321343028502e-05,0.0,0.0,0.0,2.5319974503656233e-05,3.890454115445756e-06,0.0,0.0,0.0032960741430141747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.636041333534733e-06,6.287694795629782e-12,1.2699501295201572e-09,3.6683233512171036e-06,0.0,0.0,1.655184925574604e-08,0.0,7.826214319381935e-14,0.0,0.0,3.51056378933697e-11,2.0537898518049678e-10,7.2274236267908e-11,7.813222194663444e-09,1.2770509112385815e-11,1.4336986618523354e-07,8.148006046139064e-10,0.0,0.0,0.0,3.441933448581099e-13,1.278309093387863e-08,0.0,1.1166745189618918e-11,1.5010543270759228e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.750495722129766e-17,0.0,0.0,0.0,2.2415326731337555e-11,0.0,0.0,0.0,2.430305627089063e-10,153,1,2022-07-14 21:02:06.835980
1321,5.677460384981292e-16,0.0,1.8893984689257786e-16,0.0,3.188800605661381e-18,2.3341692112915536e-20,0.0,0.0,0.0,3.26281854931836e-20,1.14677595308739e-15,0.0,0.0,2.1097045739339755e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.755294146724385e-18,2.4210016830051168e-17,2.086402484173186e-15,1.5664513535453956e-18,0.0,0.0,7.499309244107268e-21,0.0,3.48872885866057e-19,0.0,0.0,5.964684318777896e-19,7.533217286108737e-17,0.0002232452627475318,0.07181377456105402,0.9279377489074248,7.57103918328104e-06,1.7660229585885273e-05,0.0,0.0,0.0,1.2970599490353792e-21,6.846412562025806e-18,0.0,5.158221389624875e-21,2.0934863094363115e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0129814353144409e-22,0.0,0.0,0.0,3.1495022586792666e-20,0.0,0.0,0.0,2.4656890698917655e-17,153,1,2022-07-14 21:02:06.835980
1322,1.879891107175167e-19,0.0,1.0287430904450265e-19,0.0,1.434822245861779e-22,6.729456122340557e-20,0.0,0.0,0.0,1.2855673982360735e-21,1.1490871199149411e-17,0.0,0.0,7.919674150137901e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3263999954780784e-23,1.5444739878138205e-25,1.6647481675341767e-22,2.9124274858547256e-25,0.0,0.0,9.79067551572334e-18,0.0,1.379751664695514e-24,0.0,0.0,1.8051744806123701e-25,3.4959607582646393e-22,1.0613603740053566e-06,0.011229069118414457,0.9887558731674102,1.7114795727033845e-06,1.2284874228735547e-05,0.0,0.0,0.0,6.149709225411226e-20,1.1596341183770076e-17,0.0,3.3234890546030125e-20,1.9366206855039673e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.839453180927792e-21,0.0,0.0,0.0,9.969685141106873e-18,0.0,0.0,0.0,1.7630334184358574e-24,153,1,2022-07-14 21:02:06.835980
1323,4.422870707420974e-06,0.0,2.3083987650787012e-07,0.0,4.392477391547235e-07,4.9100284625728565e-15,0.0,0.0,0.0,1.488211462858992e-14,6.354858033629198e-11,0.0,0.0,1.290983527768546e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.005925263080866e-07,8.392698075353211e-07,0.0066096243299586825,3.470572375758928e-07,0.0,0.0,6.555182929901793e-17,0.0,0.019221900156291737,0.0,0.0,0.19078851190740667,0.7833729645374727,6.167503219957209e-09,2.0631047715750218e-09,5.497149763267841e-10,1.2613990598879234e-11,9.166906538177527e-13,0.0,0.0,0.0,4.838502746934178e-16,8.374133116998541e-13,0.0,2.016259878267587e-14,5.667028409924207e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0373401853099678e-17,0.0,0.0,0.0,6.898621081101114e-14,0.0,0.0,0.0,1.03197166336105e-08,153,1,2022-07-14 21:02:06.835980
1324,0.2032724538413814,0.0,0.026455682183587893,0.0,0.004104566424290766,3.416452040307431e-10,0.0,0.0,0.0,4.496619420247754e-09,0.00011319029759273236,0.0,0.0,1.7171263729649647e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029467430420275813,0.010017722993349682,0.015203721853809818,0.03751473457485367,0.0,0.0,7.887175543693235e-11,0.0,4.968754761680713e-05,0.0,0.0,0.003518636742124958,0.003715979584378509,0.00016227569600221948,5.556564656667181e-06,1.2628780230178923e-07,9.725727821410253e-09,3.8327257915636456e-11,0.0,0.0,0.0,6.149417925315518e-11,7.544507481462899e-06,0.0,3.903672524737613e-09,1.7483382832195602e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0798260925920729e-13,0.0,0.0,0.0,8.060945795810148e-09,0.0,0.0,0.0,0.6663889466469931,153,1,2022-07-14 21:02:06.835980
1325,0.11446310508720506,0.0,0.01712756280120717,0.0,0.0012802547328888904,2.9241106740651987e-07,0.0,0.0,0.0,4.576187977617676e-06,0.004857467993025172,0.0,0.0,3.0625278827623715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573746609849196,0.000773538612341275,0.17044508310145826,0.028004179447999027,0.0,0.0,8.742632029810504e-08,0.0,0.000489442419319188,0.0,0.0,0.012669563867157771,0.04200389248993991,0.013880721877187162,0.0036830777522667063,0.00022230988959995253,3.3724889308958814e-05,4.3245747176770056e-07,0.0,0.0,0.0,5.18233869935987e-09,1.8287307469840224e-05,0.0,7.85793436234461e-08,5.000817772088442e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.463381399301001e-12,0.0,0.0,0.0,6.827567686896509e-08,0.0,0.0,0.0,0.03263696089021072,153,1,2022-07-14 21:02:06.835980
1326,0.0034312322195983428,0.0,0.00011701354977025471,0.0,9.147390963985106e-05,6.722343326569419e-13,0.0,0.0,0.0,8.490435843464172e-12,5.999086792640008e-07,0.0,0.0,5.401604122835901e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004811608969193079,0.0009701606501554787,0.009724479337645827,0.0004148239856505694,0.0,0.0,1.2443421739274896e-12,0.0,0.004650022504380417,0.0,0.0,0.013896003828723748,0.9596770065803769,0.000747565273330365,0.0001255531425177577,1.1999130628142953e-05,1.1203034318210574e-07,1.6630807254206404e-09,0.0,0.0,0.0,5.489655450595434e-12,6.589364453982664e-08,0.0,6.693425587148437e-11,2.239740771076677e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.900572138656878e-13,0.0,0.0,0.0,5.71414379070582e-09,0.0,0.0,0.0,0.005660714295846326,153,1,2022-07-14 21:02:06.835980
1327,0.7997724852861013,0.0,0.19603235169045832,0.0,0.0008735493363279573,1.1081783519868015e-09,0.0,0.0,0.0,2.480613241331913e-08,0.00018279659785070865,0.0,0.0,0.0003077659780097605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2780673667457694e-05,2.637140672382617e-06,1.313083796445159e-05,2.760368884034624e-06,0.0,0.0,5.625108246903306e-07,0.0,2.321795291291101e-09,0.0,0.0,3.715138246051139e-07,5.182562494680611e-07,0.0024377030155456688,0.00032409569012434704,1.7860588812671894e-05,6.5495236203620594e-06,9.671932792084928e-08,0.0,0.0,0.0,4.840105101849058e-11,1.6055886771894759e-07,0.0,1.861399009157743e-09,1.0499697508226573e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.636880837491739e-11,0.0,0.0,0.0,2.203922886039095e-06,0.0,0.0,0.0,9.58946270831204e-06,153,1,2022-07-14 21:02:06.835980
1328,0.14095617265796528,0.0,0.8589096537385127,0.0,0.00013414809503132586,1.8842474204857292e-13,0.0,0.0,0.0,2.3027601988873137e-10,2.3931497265859175e-09,0.0,0.0,2.2117390175983278e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2761837513040876e-12,1.4422802805169802e-15,1.1281316030761836e-10,1.5597276813650986e-12,0.0,0.0,4.2431117151748025e-10,0.0,2.0654285567642788e-14,0.0,0.0,1.3028859627449626e-14,2.5065562398283176e-12,5.933716687366887e-13,3.31680800388556e-12,1.6950129689655463e-14,1.953771143469044e-12,1.7456101495089599e-13,0.0,0.0,0.0,9.080292995427649e-13,2.3286417105595487e-11,0.0,1.5589043535851472e-13,1.585447323405317e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.745690586941363e-16,0.0,0.0,0.0,3.501086757213665e-11,0.0,0.0,0.0,2.2297969368226554e-14,153,1,2022-07-14 21:02:06.835980
1329,0.06020538730283398,0.0,0.004373963296025438,0.0,0.0013318222407419232,1.016074071922989e-10,0.0,0.0,0.0,6.52575767084243e-10,4.993861297329029e-05,0.0,0.0,9.867639627642718e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034045979049619604,0.01190021762491982,0.037467378315062375,0.05107412891952574,0.0,0.0,3.4250876260049113e-10,0.0,8.303819832330491e-05,0.0,0.0,0.004217326429344157,0.0033389915012088265,0.0002806518641181012,1.0441881756132186e-05,3.62353965636396e-07,7.934733836897783e-09,4.079113551160028e-11,0.0,0.0,0.0,1.4787209138977433e-10,4.968910135269151e-06,0.0,3.4495007558445823e-09,9.844497221877448e-15,0.0,0.0,0.0,0.0,0.0,0.0,9.635745301247548e-13,0.0,0.0,0.0,3.312124472338597e-08,0.0,0.0,0.0,0.7916143709436758,153,1,2022-07-14 21:02:06.835980
1330,0.8973780884719897,0.0,0.09714688481377194,0.0,0.004970317161548746,1.926902281117545e-11,0.0,0.0,0.0,7.694452064146185e-10,2.6796886669234175e-05,0.0,0.0,2.952018248811705e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.557292746966698e-06,1.9311338290727693e-06,0.0003561731993795379,1.9828345655729253e-06,0.0,0.0,1.6606501194346464e-09,0.0,4.618662854946742e-07,0.0,0.0,3.5760028944243303e-06,7.90825113728972e-06,4.9527098781753057e-05,9.416337037668019e-07,5.916061154015816e-08,4.373111695520888e-09,5.408707844243962e-11,0.0,0.0,0.0,1.0538279637993192e-09,4.2852337536345945e-06,0.0,3.000992008901741e-08,7.63269481949966e-13,0.0,0.0,0.0,0.0,0.0,0.0,6.956580457207889e-12,0.0,0.0,0.0,2.539354678676193e-07,0.0,0.0,0.0,4.592187300743536e-05,153,1,2022-07-14 21:02:06.835980
1331,2.4125442301180222e-16,0.0,6.493972395835219e-16,0.0,5.237814779730693e-19,3.121895458411294e-19,0.0,0.0,0.0,2.2836282739883355e-19,9.34766813626744e-14,0.0,0.0,9.832612922741168e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496263615879391e-19,1.3224696576377693e-22,1.0639097828257034e-17,1.4976907861139966e-20,0.0,0.0,1.2784851373622498e-18,0.0,1.4692867355568305e-21,0.0,0.0,1.355589071507559e-19,5.438684085543632e-18,9.507058794414669e-06,0.08243618810970564,0.916121281968716,5.954017225075488e-05,0.00137348269034055,0.0,0.0,0.0,6.705273425475532e-22,2.2012014729289475e-17,0.0,9.843780266852936e-21,4.871584186504957e-17,0.0,0.0,0.0,0.0,0.0,0.0,8.720875031562785e-21,0.0,0.0,0.0,3.634675264359211e-18,0.0,0.0,0.0,5.925884498749662e-22,153,1,2022-07-14 21:02:06.835980
1332,4.284043775154906e-07,0.0,1.37479506963734e-07,0.0,3.428354973585052e-10,6.636072135143788e-12,0.0,0.0,0.0,2.3674201956705538e-12,3.262084186157583e-12,0.0,0.0,1.3835703560731143e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91976138046812e-12,1.9437601665499483e-13,4.01426412500876e-09,5.0302017562356915e-14,0.0,0.0,3.861000146803111e-12,0.0,3.7798211473564976e-10,0.0,0.0,1.4372045567264774e-09,1.689658842614452e-08,0.0015090432746683688,0.17415463300035294,0.7143839563572715,0.01580751436770325,0.09414426262911274,0.0,0.0,0.0,7.436023888404364e-15,1.3615107863692753e-14,0.0,3.758570808700538e-14,1.2637041991812312e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.119082730663259e-15,0.0,0.0,0.0,3.5692342658322625e-12,0.0,0.0,0.0,1.7626437555808664e-15,153,1,2022-07-14 21:02:06.835980
