gene_name,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Nos1,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero,utc,iteration,has_converged
Cdh13,0.10591715976331362,0.1,0.1,0.10505050505050506,0.11025641025641027,0.12962962962962965,0.1,0.24893617021276596,0.17058823529411765,0.269811320754717,0.1,0.12000000000000001,0.1,0.22,0.4223140495867769,0.13960396039603962,0.16666666666666669,0.2935483870967742,0.475,0.24583333333333335,0.48888888888888893,0.964406779661017,0.1588235294117647,0.15555555555555556,0.23636363636363636,0.1,0.15172413793103448,0.24285714285714285,0.21764705882352942,0.1563380281690141,0.1,0.1273972602739726,0.1,0.1,0.1,0.1,0.23513513513513515,0.19722222222222224,0.5583333333333333,0.26666666666666666,0.18823529411764706,0.11960784313725491,0.1,0.28181818181818186,0.12325581395348838,0.1,0.10900900900900902,0.35373134328358213,0.45185185185185184,0.1,0.1,0.12608695652173912,3.591228070175439,1.6384615384615386,1.0473684210526315,0.8349397590361446,1.3222222222222224,1.7363636363636366,1.5074074074074075,1.2764705882352942,1.0714285714285714,0.6072463768115942,1.1491803278688526,4.515204678362573,1.523529411764706,0.24772727272727274,2.4164556962025316,1.3903225806451613,0.3222222222222222,0.18928571428571428,0.11438848920863309,0.1,2022-07-14 21:02:08.150980,153,1
Chodl,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.1,0.1099009900990099,0.1,0.1,0.1,0.1,0.1,0.1,0.10840336134453782,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11492537313432837,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13703703703703704,0.1,0.1,0.1,2.2142857142857144,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11785714285714285,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Chrm2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10826446280991736,0.1,0.13333333333333333,0.1,0.1138888888888889,0.14166666666666666,0.1,0.1,0.13361344537815126,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.072972972972973,0.12777777777777777,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15970149253731344,0.1,0.15970149253731344,0.20344827586206898,0.4826086956521739,0.27543859649122804,0.19615384615384618,0.23157894736842105,0.3530120481927711,0.17407407407407408,0.32727272727272727,0.1,0.1588235294117647,0.5857142857142857,0.1144927536231884,0.14918032786885246,0.10584795321637427,0.11176470588235295,0.1303030303030303,0.11898734177215191,0.1860215053763441,0.1,0.1,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cnr1,0.20059171597633135,0.1588235294117647,0.12666666666666668,0.18585858585858586,0.11025641025641027,0.40740740740740744,0.6465116279069767,3.4191489361702128,1.2058823529411766,3.279245283018868,1.6600000000000001,2.7,3.1588235294117646,4.46,1.9099173553719009,3.09009900990099,4.816666666666666,50.745161290322585,44.03055555555556,69.4125,56.18333333333334,28.1,124.15042016806723,15.475,81.72121212121212,26.559016393442626,73.27241379310344,44.69183673469388,22.041176470588237,34.36760563380282,0.35,0.1684931506849315,0.24285714285714285,0.2111111111111111,0.18333333333333335,0.13896103896103895,5.113513513513513,15.141666666666666,19.308333333333334,0.18333333333333335,0.3941176470588236,0.16862745098039217,0.1588235294117647,0.21363636363636362,0.26279069767441865,0.526829268292683,0.6315315315315315,0.9805970149253731,2.0074074074074075,0.35373134328358213,0.44482758620689655,0.4217391304347826,0.46842105263157896,0.5423076923076923,0.7973684210526315,0.5337349397590362,5.729629629629629,0.8727272727272727,1.951851851851852,0.6588235294117647,0.5571428571428572,1.6217391304347828,2.198360655737705,1.357309941520468,1.0058823529411764,2.975,2.8848101265822788,1.3903225806451613,1.8222222222222224,2.492857142857143,0.13597122302158274,0.1,2022-07-14 21:02:08.150980,153,1
Col25a1,0.11775147928994084,0.1,0.13333333333333333,0.10505050505050506,0.1,2.188888888888889,3.588372093023256,0.2276595744680851,0.2529411764705882,0.14716981132075474,0.1,0.22,0.1,0.14,0.11652892561983472,0.1099009900990099,0.1,5.325806451612903,8.488888888888889,9.5375,6.322222222222222,4.074576271186441,9.923529411764706,0.9333333333333333,8.948484848484847,2.4278688524590164,8.858620689655172,5.263265306122449,6.688235294117646,5.043661971830986,0.1,0.1136986301369863,0.1,0.1,0.1,0.10865800865800866,0.7756756756756756,1.9194444444444445,2.3708333333333336,0.1,0.1588235294117647,0.1,0.1,0.12272727272727274,0.1,0.20975609756097563,0.2531531531531531,0.6373134328358209,0.43333333333333335,0.21940298507462686,1.1344827586206898,0.6130434782608696,2.836842105263158,0.1,0.24473684210526317,0.1602409638554217,1.0629629629629629,0.1,3.72962962962963,0.12941176470588237,4.728571428571429,0.18695652173913044,0.1,0.8953216374269005,1.1,0.1340909090909091,0.3405063291139241,1.99247311827957,0.1,0.225,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cort,0.11183431952662723,0.1,0.11333333333333334,0.1,0.1,0.9777777777777777,0.6697674418604651,0.12127659574468086,0.711764705882353,0.2509433962264151,0.1,0.16,0.1,0.12000000000000001,0.14132231404958678,0.1594059405940594,0.1,0.1,0.18333333333333335,0.14166666666666666,0.1,0.15084745762711865,0.1504201680672269,0.1138888888888889,0.11515151515151516,0.14918032786885246,0.1,0.12040816326530612,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12083333333333333,0.14166666666666666,0.1,0.1,0.1,0.14545454545454545,0.12325581395348838,0.1,0.10900900900900902,0.1,0.11851851851851852,0.18955223880597016,0.23793103448275862,0.15217391304347827,1.468421052631579,0.7730769230769231,5.771052631578947,0.9313253012048193,0.6925925925925925,0.6,1.1740740740740743,2.511764705882353,3.9857142857142858,8.128985507246377,1.0344262295081967,0.3573099415204678,0.30000000000000004,0.4446969696969697,0.7708860759493671,0.3365591397849462,0.1,0.35,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cox6a2,0.1,0.10653594771241831,0.11333333333333334,0.11515151515151516,0.10512820512820513,2.2444444444444445,0.6,0.24893617021276596,1.3588235294117648,0.9679245283018868,0.1,0.1,0.1,0.12000000000000001,0.1578512396694215,0.6445544554455446,0.4833333333333334,0.1,0.1,0.20416666666666666,0.12777777777777777,0.11694915254237288,0.16722689075630254,0.1,0.22121212121212122,0.11639344262295083,0.15172413793103448,0.20204081632653062,0.1588235294117647,0.21267605633802816,0.1,0.1136986301369863,0.1,0.1,0.18333333333333335,0.12164502164502165,0.26216216216216215,0.6694444444444444,0.225,0.1,0.1,0.1,0.10980392156862745,0.1,0.1,0.12439024390243902,0.1,0.12985074626865672,0.1,3.9507462686567165,2.1689655172413795,2.2130434782608694,1.1,1.5615384615384615,2.2315789473684213,4.148192771084337,1.137037037037037,0.4636363636363636,0.4703703703703703,1.8647058823529412,0.1,0.4043478260869565,0.11639344262295083,0.12339181286549708,0.41764705882352937,0.10378787878787879,0.1,0.2935483870967742,0.1,0.26071428571428573,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cplx2,0.508284023668639,0.2045751633986928,0.4866666666666667,0.3171717171717172,0.2897435897435897,0.5666666666666667,0.6465116279069767,1.9936170212765958,0.6529411764705882,0.6660377358490566,0.7,1.0,1.6686274509803922,2.02,2.1082644628099176,1.3970297029702972,3.2,13.13225806451613,19.544444444444444,26.01666666666667,18.822222222222223,10.86271186440678,28.696638655462188,5.627777777777777,20.372727272727275,10.936065573770492,18.944827586206898,16.793877551020408,9.98235294117647,13.043661971830986,0.1,0.1410958904109589,0.17142857142857143,0.15555555555555556,0.1,0.11731601731601732,4.262162162162162,10.613888888888889,10.225,0.1,0.1588235294117647,0.12941176470588237,0.12941176470588237,0.12272727272727274,1.6116279069767443,1.929268292682927,2.955855855855856,3.5776119402985076,5.637037037037037,0.5477611940298508,0.6172413793103448,0.5869565217391305,0.46842105263157896,0.25384615384615383,0.49473684210526314,0.4373493975903614,3.8777777777777778,0.28181818181818186,1.8037037037037038,0.24705882352941178,6.271428571428571,1.9695652173913045,2.559016393442623,4.895321637426901,3.1,3.35,3.5430379746835445,2.6161290322580646,1.1,1.7964285714285715,0.1431654676258993,0.1,2022-07-14 21:02:08.150980,153,1
Cpne5,0.11183431952662723,0.1,0.10666666666666667,0.10505050505050506,0.10512820512820513,0.17777777777777778,0.1,0.2914893617021277,0.19411764705882353,0.16603773584905662,0.26,0.26,0.3156862745098039,0.38,0.13305785123966943,0.1594059405940594,0.1,0.22903225806451613,7.016666666666667,5.766666666666667,1.3222222222222224,5.167796610169491,1.0915966386554623,0.28055555555555556,0.17575757575757578,0.23114754098360657,0.13448275862068965,0.16122448979591836,0.1588235294117647,0.2549295774647887,0.1,0.1,0.1,0.1,0.1,0.1,0.7081081081081081,0.2388888888888889,0.6208333333333333,0.1,0.1,0.1,0.1,0.1,0.1930232558139535,0.23414634146341465,0.49639639639639643,0.23432835820895523,0.3037037037037037,1.0701492537313433,0.20344827586206898,0.2565217391304348,0.1,0.1,0.16578947368421054,0.1,0.3592592592592593,0.1,0.1,0.1588235294117647,0.8428571428571429,0.27391304347826084,0.739344262295082,0.49766081871345025,0.37058823529411766,0.40681818181818186,0.2645569620253164,0.11075268817204302,0.3222222222222222,0.15357142857142858,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Crh,0.1,0.1,0.1,0.1,0.1,0.11851851851851852,0.1,0.1,0.11176470588235295,0.1,1.54,0.22,0.5705882352941176,0.33999999999999997,0.35619834710743803,0.22871287128712872,0.16666666666666669,0.1,0.2388888888888889,0.12083333333333333,0.2388888888888889,0.16779661016949154,0.10840336134453782,0.475,0.1303030303030303,2.1327868852459018,0.20344827586206898,0.20204081632653062,0.1588235294117647,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1138888888888889,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14477611940298507,0.1,0.14477611940298507,0.1,0.30000000000000004,0.15263157894736842,0.1,0.17894736842105263,0.1,0.3222222222222222,1.2363636363636366,0.1,0.3058823529411765,0.1,0.1,0.21475409836065573,0.14678362573099416,0.2529411764705882,0.1606060606060606,0.7012658227848101,0.1967741935483871,2.2666666666666666,3.3142857142857145,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Crhbp,0.11775147928994084,0.1,0.1,0.1,0.1,0.10740740740740741,0.13488372093023257,0.12127659574468086,0.11176470588235295,0.1,0.1,0.1,0.1,0.14,0.1,0.1,0.1,0.1,0.1,0.12083333333333333,0.1,0.1423728813559322,0.21764705882352942,0.1,0.1,0.13278688524590165,0.1,0.12040816326530612,0.1588235294117647,0.11408450704225352,0.1,0.1,0.1,0.15555555555555556,0.1,0.1,0.5324324324324324,0.1138888888888889,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11219512195121951,0.1,0.1,0.1,0.1,0.1,0.11739130434782609,5.749122807017543,0.35,3.1,2.3289156626506027,0.7666666666666666,0.1,0.4703703703703703,0.24705882352941178,17.52857142857143,5.926086956521739,1.29672131147541,6.97719298245614,1.2764705882352942,0.8045454545454546,2.258227848101266,1.4440860215053763,0.1,0.11785714285714285,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cryab,0.8041420118343195,0.7209150326797386,1.7066666666666668,1.296969696969697,0.8487179487179487,8.077777777777778,7.681395348837209,5.397872340425532,7.735294117647059,7.590566037735849,1.3800000000000001,0.22,0.49215686274509807,3.62,0.4636363636363636,0.1792079207920792,0.1,4.196774193548387,0.12777777777777777,0.1625,0.46111111111111114,0.2271186440677966,0.2008403361344538,2.5305555555555554,0.7212121212121212,0.9524590163934425,0.18620689655172415,1.0387755102040817,0.1,1.128169014084507,6.1,0.7712328767123288,0.1,1.7111111111111112,0.18333333333333335,0.1303030303030303,0.14054054054054055,0.19722222222222224,0.1625,12.933333333333334,39.57058823529412,30.315686274509805,16.68823529411765,8.759090909090908,0.21627906976744188,0.24634146341463414,0.2711711711711712,0.7417910447761193,1.2851851851851852,0.18955223880597016,1.9965517241379311,0.27391304347826084,0.11754385964912281,0.1,0.19210526315789472,0.18433734939759036,5.47037037037037,0.19090909090909092,0.2111111111111111,0.1,0.1285714285714286,0.1289855072463768,0.13278688524590165,0.19941520467836257,0.1588235294117647,0.11893939393939394,0.12531645569620253,0.13225806451612904,0.8222222222222222,1.1714285714285715,0.6323741007194245,0.1,2022-07-14 21:02:08.150980,153,1
