,Gene,x,y
391,Cryab,89,5003
392,Plp1,90,5086
393,Cryab,90,5082
394,Cryab,90,5064
395,Plp1,90,3930
396,Plp1,91,5009
397,Cryab,91,4773
398,Plp1,91,4663
399,Enpp2,92,5293
400,Plp1,92,5214
401,Plp1,92,4995
402,Cryab,92,4660
403,Pcp4,92,3953
404,Enpp2,92,3921
405,Rgs4,92,3915
406,Enpp2,93,5287
407,Plp1,93,5215
408,Plp1,93,5206
409,Plp1,93,5197
410,Plp1,93,5190
411,Plp1,93,5147
412,Plp1,93,5137
413,Plp1,93,5097
414,Enpp2,93,5068
415,Plp1,93,5012
416,6330403K07Rik,93,3955
417,Enpp2,93,3938
418,Plp1,94,5211
419,Plp1,94,5200
420,Plp1,94,5146
421,Plp1,94,5001
422,Plp1,94,4875
423,Plp1,94,3944
424,Cryab,95,5219
425,Plp1,95,5063
426,Cryab,95,4766
427,3110035E14Rik,95,4067
428,Id2,95,4033
429,Enpp2,95,4008
430,Cryab,96,5189
431,Plp1,96,5074
432,Plp1,96,4998
433,Cryab,96,4657
434,Enpp2,96,3928
435,Plp1,97,5002
436,Pvalb,97,4948
437,Plp1,97,3919
438,Plp1,98,5282
439,Plp1,98,5196
440,Pcp4,98,5010
441,Plp1,98,4651
442,3110035E14Rik,98,3965
443,Cck,99,4762
444,Plp1,99,4641
445,Plp1,99,3941
446,Plp1,99,3934
447,Plp1,99,3926
448,Plp1,99,3911
449,Enpp2,100,5207
450,Plp1,100,5188
451,Plp1,100,5070
452,Cplx2,100,4846
453,Plp1,100,4654
454,Cryab,100,4502
455,Arpp21,100,4068
456,Plp1,100,4014
457,Enpp2,100,4008
458,Plp1,100,4002
459,Plp1,101,5196
460,Cryab,101,5131
461,3110035E14Rik,101,4964
462,Plp1,101,4775
463,Plp1,101,4649
464,Plp1,101,4639
465,Enpp2,101,4637
466,Plp1,101,4624
467,Plp1,101,4568
468,Plp1,101,4280
469,Plp1,102,5411
470,Plp1,102,5406
471,Cryab,102,5219
472,Enpp2,102,5146
473,Plp1,102,4772
