x_global,y_global,fov_id,label,target,x_cell,y_cell
28,4139,0,0,Cck,,
29,4642,0,14,Plp1,33.834045999999944,4635.40741
29,4551,0,17,Enpp2,48.385605999999825,4548.2053
30,4860,0,12,6330403K07Rik,24.944852999999966,4865.3584599999995
30,4729,0,13,6330403K07Rik,38.0253730000004,4729.093279999999
30,4559,0,17,Id2,48.385605999999825,4548.2053
30,4503,0,0,Plp1,,
30,4477,0,0,Aldoc,,
30,4161,0,0,Plp1,,
31,4631,0,14,Plp1,33.834045999999944,4635.40741
31,4622,0,14,Plp1,33.834045999999944,4635.40741
31,4423,0,0,Plp1,,
31,4190,0,11,Pvalb,42.63932199999999,4196.321260000001
32,4556,0,17,Plp1,48.385605999999825,4548.2053
32,4507,0,0,Cryab,,
32,4449,0,0,Plp1,,
32,4261,0,8,Cryab,24.919372999999723,4249.73684
33,4639,0,14,Plp1,33.834045999999944,4635.40741
33,4545,0,17,Plp1,48.385605999999825,4548.2053
33,4159,0,0,Plp1,,
33,4157,0,0,Plp1,,
34,4640,0,14,Plp1,33.834045999999944,4635.40741
34,4624,0,14,Plp1,33.834045999999944,4635.40741
34,4539,0,17,Enpp2,48.385605999999825,4548.2053
34,4274,0,16,Plp1,41.56462600000032,4283.2068
34,4185,0,11,Id2,42.63932199999999,4196.321260000001
34,4176,0,11,Fam19a1,42.63932199999999,4196.321260000001
35,4712,0,13,Enpp2,38.0253730000004,4729.093279999999
35,4419,0,0,Plp1,,
35,4277,0,16,Plp1,41.56462600000032,4283.2068
35,4217,0,11,Id2,42.63932199999999,4196.321260000001
36,4722,0,13,Plp1,38.0253730000004,4729.093279999999
36,4645,0,14,Pde1a,33.834045999999944,4635.40741
36,4642,0,14,Plp1,33.834045999999944,4635.40741
36,4546,0,17,Plp1,48.385605999999825,4548.2053
36,4207,0,11,Id2,42.63932199999999,4196.321260000001
36,4188,0,11,Id2,42.63932199999999,4196.321260000001
37,4713,0,13,Plp1,38.0253730000004,4729.093279999999
37,4644,0,14,Plp1,33.834045999999944,4635.40741
37,4639,0,14,Plp1,33.834045999999944,4635.40741
37,4594,0,20,Enpp2,56.52744299999995,4586.64257
37,4510,0,0,Pvalb,,
38,4717,0,13,Plp1,38.0253730000004,4729.093279999999
38,4634,0,14,Plp1,33.834045999999944,4635.40741
38,4554,0,17,Id2,48.385605999999825,4548.2053
39,4545,0,17,Plp1,48.385605999999825,4548.2053
40,4713,0,13,Plp1,38.0253730000004,4729.093279999999
40,4640,0,14,Plp1,33.834045999999944,4635.40741
40,4550,0,17,Enpp2,48.385605999999825,4548.2053
40,4288,0,16,Plp1,41.56462600000032,4283.2068
40,4276,0,16,Plp1,41.56462600000032,4283.2068
41,4700,0,0,Cryab,,
41,4628,0,14,Plp1,33.834045999999944,4635.40741
41,4483,0,0,Cryab,,
41,4418,0,21,Plp1,55.449437999999645,4419.34591
41,4357,0,15,Plp1,31.641891999999643,4354.564189999999
41,4219,0,11,3110035E14Rik,42.63932199999999,4196.321260000001
42,4638,0,14,Plp1,33.834045999999944,4635.40741
42,4591,0,20,Cpne5,56.52744299999995,4586.64257
42,4460,0,0,Arpp21,,
42,4275,0,16,Plp1,41.56462600000032,4283.2068
43,4635,0,14,Plp1,33.834045999999944,4635.40741
43,4420,0,21,Plp1,55.449437999999645,4419.34591
43,4216,0,11,3110035E14Rik,42.63932199999999,4196.321260000001
43,4198,0,11,Plp1,42.63932199999999,4196.321260000001
44,5065,0,0,Plp1,,
44,5031,0,18,Plp1,50.747378000000026,5034.464250000001
44,4556,0,17,Plp1,48.385605999999825,4548.2053
44,4542,0,17,Plp1,48.385605999999825,4548.2053
44,4483,0,0,Plp1,,
44,4203,0,11,Plp1,42.63932199999999,4196.321260000001
44,4193,0,11,Plp1,42.63932199999999,4196.321260000001
45,5024,0,18,Plp1,50.747378000000026,5034.464250000001
45,4939,0,0,Plp1,,
45,4278,0,16,Kctd12,41.56462600000032,4283.2068
45,4219,0,11,Cck,42.63932199999999,4196.321260000001
45,4213,0,11,Plp1,42.63932199999999,4196.321260000001
45,4207,0,11,Plp1,42.63932199999999,4196.321260000001
45,4050,0,0,Plp1,,
46,4587,0,20,Cpne5,56.52744299999995,4586.64257
46,4549,0,17,Plp1,48.385605999999825,4548.2053
46,4208,0,11,Plp1,42.63932199999999,4196.321260000001
47,4987,0,0,Cryab,,
47,4926,0,22,Plp1,48.05494499999986,4926.94505
47,4422,0,21,Plp1,55.449437999999645,4419.34591
47,4413,0,21,Plp1,55.449437999999645,4419.34591
47,4188,0,11,Enpp2,42.63932199999999,4196.321260000001
48,5055,0,0,Enpp2,,
48,4589,0,20,Enpp2,56.52744299999995,4586.64257
48,4584,0,20,Prkca,56.52744299999995,4586.64257
48,4425,0,21,Plp1,55.449437999999645,4419.34591
49,5105,0,23,Plp1,59.085189000000355,5101.4569200000005
49,5090,0,23,Plp1,59.085189000000355,5101.4569200000005
49,4558,0,17,Plp1,48.385605999999825,4548.2053
49,4549,0,17,Plp1,48.385605999999825,4548.2053
49,4421,0,21,Plp1,55.449437999999645,4419.34591
49,4226,0,0,Cplx2,,
49,4209,0,11,Plp1,42.63932199999999,4196.321260000001
49,4197,0,11,Plp1,42.63932199999999,4196.321260000001
50,5099,0,23,Npy2r,59.085189000000355,5101.4569200000005
50,5035,0,18,Plp1,50.747378000000026,5034.464250000001
50,5031,0,18,Plp1,50.747378000000026,5034.464250000001
50,4911,0,0,Plp1,,
50,4225,0,0,Cplx2,,
50,4204,0,11,Plp1,42.63932199999999,4196.321260000001
51,5098,0,23,Npy2r,59.085189000000355,5101.4569200000005
51,4776,0,0,Cadps2,,
51,4542,0,17,Plp1,48.385605999999825,4548.2053
51,4419,0,21,Plp1,55.449437999999645,4419.34591
51,4416,0,21,Plp1,55.449437999999645,4419.34591
51,4211,0,11,Plp1,42.63932199999999,4196.321260000001
52,5094,0,23,Plp1,59.085189000000355,5101.4569200000005
52,4578,0,20,Plp1,56.52744299999995,4586.64257
52,4187,0,11,Plp1,42.63932199999999,4196.321260000001
