Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
20	55.0	1051.0	['Cryab', 'Cux2', 'Plp1', 'Rgs4']	[1.3428143183182144, 0.9944282566423526, 17.998934998316077, 0.010568272456938576]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06165549610600449, 0.06460246813985769, 0.007162569156468406, 0.03284613489276436, 0.33157671754430357, 0.5021566140611798]
21	56.0	884.0	['3110035E14Rik', 'Cpne5', 'Cryab', 'Enpp2', 'Npy', 'Pcp4', 'Plp1', 'Prkca']	[0.003022005409083344, 1.9782644961613096, 0.9990183399365813, 1.974052332468935, 0.9941874982622736, 0.9576715060567903, 7.994894378415439, 2.992193685651488]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06148580028762693, 0.02358068631430927, 0.01707402523922808, 0.054320569564287546, 0.1862271430551669, 0.6573035752927675]
22	59.0	369.0	['Cryab', 'Enpp2', 'Npy', 'Npy2r', 'Plp1']	[3.995702244391625, 0.023383205802558687, 0.0033959646115750454, 1.9868257013050314, 13.47340371477603]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.008414472342193108, 0.06573955878731728, 0.01559651770482041, 0.06703256901042341, 0.4663021076964003, 0.3769147743770661]
23	61.0	785.0	['Cryab', 'Enpp2', 'Plp1']	[0.2668014163095969, 0.9407781962437679, 0.9694136716296352]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.0034894634157168207, 0.002426100988931831, 0.0011938109839078842, 0.0017133111450625936, 0.0059593647471306126, 0.013196646697355383, 0.02117507924814794, 0.014758059049422569, 0.015085813837193608, 0.015130938649692113, 0.0017145698507631656, 0.016374745405992926, 0.883232275343199]
24	63.0	658.0	['Aldoc', 'Id2', 'Plp1', 'Prkca', 'Pvalb', 'Snca']	[2.9971639681008844, 0.9732077644229552, 0.9869111934127305, 1.9911946017085065, 0.04560650848072157, 0.3332357454112097]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.2', 'Microglia.1', 'Zero']	[0.08738534158135502, 0.16136474128810085, 0.11215118351005583, 0.18626768853651818, 0.4384900993964952, 0.0021247080655333326, 0.0010385760158298258, 0.008315857926269512]
25	66.0	459.0	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Plp1']	[5.764622530514702, 1.0699109783424363, 0.0020801727244437814, 0.9842026686978751, 12.064411210497324]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.10412818913518399, 0.062195832810843864, 0.15060671116098928, 0.5126729017243303, 0.17010053207227463]
26	70.0	1355.0	['Enpp2', 'Plp1']	[0.9970297571051392, 9.064740032995594]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.47533643501008205, 0.051616586943921315, 0.003962752558886338, 0.015155952595872262, 0.17034548033543367, 0.28351260239197706]
27	70.0	618.0	['Cplx2', 'Cryab', 'Enpp2', 'Plp1', 'Sst']	[0.03788713521562554, 3.005825682374054, 3.995317085011087, 12.533354819634122, 0.9911654353758866]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.318872725030904, 0.09031061141414722, 0.13406217984251706, 0.40114525390593075, 0.055021487321380354]
28	72.0	522.0	['3110035E14Rik', 'Enpp2', 'Pvalb', 'Sulf2']	[0.057032910286036076, 0.0032191141247586144, 0.29070202632445225, 0.9845117258310123]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.002992519700961723, 0.004815717558816972, 0.0071634446789254754, 0.008088042759338249, 0.005628396342693587, 0.9687126238518077]
29	72.0	400.0	['Cryab', 'Enpp2', 'Htr3a', 'Kctd12', 'Npy', 'Pde1a', 'Plp1']	[1.0339523460421738, 0.03217931010394677, 0.908103962856838, 0.9945224957995754, 0.016167005401287883, 0.9940809627019745, 6.499512576774966]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.5376629000604999, 0.022903122647118364, 0.0023107340880548894, 0.010860507366331042, 0.13025160838510624, 0.2955478684408567]
