cell_id,fov_id,area,x,y
58,0,274,6276.813868613139,13158.835766423357
59,0,2373,6297.522123893806,14650.519174041297
60,0,1765,6297.179603399433,13492.352974504249
61,0,364,6283.931318681319,13339.098901098901
62,0,1129,6287.997342781222,13649.767050487157
63,0,1091,6290.869844179651,13880.820348304307
64,0,1038,6292.59633911368,14315.31310211946
65,0,495,6289.105050505051,13309.373737373737
66,0,1137,6303.932277924362,13851.25857519789
67,0,1218,6306.567323481117,14399.790640394089
68,0,1453,6311.987611837578,13222.80178940124
69,0,875,6305.850285714286,14125.228571428572
70,0,1287,6310.03885003885,14037.258741258742
71,0,1105,6310.126696832579,14464.606334841628
72,0,1222,6310.929623567921,13047.863338788871
73,0,1058,6311.647448015123,14218.034026465028
74,0,729,6318.805212620027,13249.144032921811
75,0,1197,6327.57059314954,13465.07351712615
76,0,1160,6324.672413793103,14264.135344827586
77,0,238,6316.806722689075,13688.718487394957
78,0,241,6320.448132780083,13699.215767634854
79,0,291,6322.73883161512,14505.33676975945
80,0,1903,6336.0099842354175,14753.198108250132
81,0,1219,6338.669401148482,14482.826086956522
82,0,1092,6335.510073260073,13088.388278388278
83,0,392,6328.678571428572,13522.007653061224
84,0,692,6329.575144508671,13986.628612716762
85,0,983,6340.0803662258395,14224.18514750763
86,0,1228,6338.450325732899,13737.556188925082
87,0,1085,6339.330875576037,13377.56405529954
88,0,304,6333.546052631579,13507.302631578947
89,0,659,6335.943854324734,14418.0531107739
90,0,1475,6347.637288135593,14796.993898305085
91,0,1141,6343.184925503944,13151.701139351446
92,0,305,6335.550819672131,14522.52786885246
93,0,557,6347.068222621185,14534.109515260323
94,0,787,6354.8729351969505,13110.379923761118
95,0,1014,6368.666666666667,13131.161735700198
96,0,1410,6369.381560283688,13235.081560283688
97,0,1296,6368.632716049383,14677.97762345679
98,0,592,6362.719594594595,13707.518581081082
99,0,1001,6366.979020979021,14833.78821178821
100,0,777,6367.351351351352,13082.949806949808
101,0,1070,6370.026168224299,14620.445794392523
102,0,1195,6369.220920502092,14879.68619246862
103,0,1173,6370.04262574595,13488.39641943734
104,0,1538,6375.643042912874,14444.623537061118
105,0,1252,6377.944888178914,13578.443290734824
106,0,1050,6381.16,13382.004761904762
107,0,305,6374.0,13322.0
108,0,807,6388.164807930607,14903.579925650558
109,0,1670,6391.484431137725,14532.118562874251
110,0,876,6383.590182648401,14079.448630136987
111,0,3116,6396.499358151476,14949.334403080873
112,0,1336,6395.974550898203,14856.062874251496
113,0,302,6386.612582781457,13360.109271523179
114,0,1029,6397.34693877551,14614.389698736637
115,0,901,6397.69922308546,14381.50166481687
116,0,1202,6405.598169717138,14995.629783693843
117,0,1111,6403.716471647164,14336.552655265526
118,0,1247,6406.975140336808,14128.4915797915
119,0,1646,6411.044349939247,14784.213851761848
120,0,1603,6412.1809107922645,13149.29070492826
121,0,1202,6406.361896838603,13293.556572379368
122,0,776,6411.11469072165,15026.88530927835
123,0,1297,6419.3993831919815,13334.260601387818
